,rate_marriage,age,yrs_married,children,religious,affairs
256,5,42.0,23.0,4.0,3,1
257,3,27.0,9.0,3.0,1,1
258,5,42.0,13.0,0.0,2,1
259,5,32.0,16.5,2.0,2,1
260,1,42.0,23.0,2.0,1,1
261,4,27.0,6.0,0.0,1,1
262,5,42.0,23.0,3.0,2,1
263,4,27.0,9.0,2.0,3,1
264,2,32.0,13.0,3.0,3,1
265,4,22.0,2.5,0.0,2,1
266,3,32.0,16.5,3.0,2,1
267,5,27.0,6.0,1.0,3,1
268,3,27.0,2.5,0.0,1,1
269,5,22.0,2.5,0.0,2,1
270,3,32.0,13.0,0.0,2,1
271,4,37.0,16.5,2.0,2,1
272,4,27.0,6.0,1.0,2,1
273,4,37.0,23.0,4.0,2,1
274,4,22.0,2.5,2.0,2,1
275,3,27.0,6.0,1.0,3,1
276,4,32.0,16.5,3.0,4,1
277,5,22.0,6.0,2.0,3,1
278,4,32.0,13.0,2.0,3,1
279,4,27.0,9.0,1.0,1,1
280,3,32.0,16.5,2.0,2,1
281,4,27.0,13.0,2.0,2,1
282,5,27.0,9.0,1.0,3,1
283,3,27.0,9.0,0.0,1,1
284,4,27.0,9.0,0.0,3,1
285,3,22.0,2.5,0.0,1,1
286,3,32.0,13.0,2.0,3,1
287,4,42.0,23.0,5.5,2,1
288,5,22.0,2.5,0.0,2,1
289,5,27.0,9.0,1.0,2,1
290,5,37.0,13.0,2.0,3,1
291,5,27.0,2.5,1.0,3,1
292,4,27.0,6.0,0.0,2,1
293,5,22.0,2.5,0.0,2,1
294,5,27.0,6.0,1.0,3,1
295,4,32.0,9.0,2.0,2,1
296,4,32.0,6.0,2.0,3,1
297,2,22.0,2.5,1.0,2,1
298,5,27.0,2.5,0.0,2,1
299,5,37.0,16.5,3.0,2,1
300,3,27.0,2.5,1.0,3,1
301,4,27.0,6.0,1.0,1,1
302,5,27.0,6.0,2.0,3,1
303,4,42.0,23.0,3.0,2,1
304,3,27.0,6.0,2.0,3,1
305,5,22.0,6.0,1.0,3,1
306,5,37.0,23.0,3.0,2,1
307,3,37.0,16.5,3.0,3,1
308,4,42.0,23.0,4.0,2,1
309,4,42.0,23.0,3.0,3,1
310,4,37.0,23.0,2.0,2,1
311,5,32.0,16.5,4.0,1,1
312,4,27.0,6.0,2.0,3,1
313,3,32.0,16.5,2.0,2,1
314,2,27.0,6.0,1.0,2,1
315,4,22.0,2.5,0.0,1,1
316,3,22.0,6.0,1.0,2,1
317,2,27.0,6.0,0.0,3,1
318,4,27.0,6.0,1.0,2,1
319,3,22.0,2.5,1.0,1,1
320,2,37.0,16.5,3.0,2,1
321,5,32.0,13.0,2.0,2,1
322,5,22.0,2.5,0.0,1,1
323,4,22.0,6.0,1.0,3,1
324,4,22.0,0.5,0.0,2,1
325,3,27.0,2.5,0.0,2,1
326,5,27.0,2.5,0.0,3,1
327,4,22.0,2.5,0.0,3,1
328,4,42.0,16.5,2.0,1,1
329,5,32.0,13.0,1.0,2,1
330,5,32.0,13.0,3.0,3,1
331,5,32.0,2.5,0.0,3,1
332,3,32.0,13.0,1.0,1,1
333,5,42.0,23.0,2.0,3,1
334,4,27.0,6.0,1.0,1,1
335,3,37.0,16.5,4.0,3,1
336,5,37.0,16.5,2.0,2,1
337,2,32.0,9.0,1.0,2,1
338,2,32.0,13.0,0.0,2,1
339,4,22.0,0.5,0.0,1,1
340,4,22.0,6.0,0.0,1,1
341,3,37.0,16.5,3.0,3,1
342,3,27.0,2.5,0.0,2,1
343,3,22.0,2.5,0.0,2,1
344,4,32.0,16.5,2.0,2,1
345,4,42.0,16.5,2.0,3,1
346,4,32.0,16.5,5.5,3,1
347,3,32.0,13.0,2.0,3,1
348,4,42.0,23.0,2.0,2,1
349,3,32.0,9.0,1.0,2,1
350,4,22.0,2.5,0.0,2,1
351,3,37.0,16.5,3.0,3,1
352,3,42.0,23.0,3.0,1,1
353,1,32.0,16.5,3.0,3,1
354,2,37.0,16.5,5.5,2,1
355,5,32.0,9.0,0.0,3,1
356,2,32.0,16.5,4.0,2,1
357,3,22.0,2.5,0.0,2,1
358,5,32.0,2.5,0.0,2,1
359,3,27.0,6.0,1.0,1,1
360,4,27.0,6.0,0.0,1,1
361,3,37.0,16.5,2.0,2,1
362,4,37.0,16.5,2.0,1,1
363,5,42.0,23.0,2.0,3,1
364,4,32.0,13.0,2.0,1,1
365,3,27.0,9.0,0.0,1,1
366,3,32.0,13.0,2.0,1,1
367,3,27.0,6.0,2.0,3,1
368,2,37.0,16.5,3.0,2,1
369,2,22.0,6.0,2.0,1,1
370,3,17.5,2.5,1.0,3,1
371,3,27.0,6.0,3.0,2,1
372,3,22.0,2.5,0.0,1,1
373,4,42.0,23.0,3.0,2,1
374,2,27.0,6.0,2.0,3,1
375,4,32.0,16.5,5.5,2,1
376,4,27.0,2.5,0.0,3,1
377,4,27.0,6.0,2.0,3,1
378,4,27.0,2.5,0.0,3,1
379,5,27.0,6.0,0.0,1,1
380,2,22.0,6.0,2.0,2,1
381,3,27.0,2.5,0.0,1,1
382,4,32.0,16.5,3.0,3,1
383,5,32.0,13.0,1.0,3,1
384,3,22.0,2.5,1.0,2,1
385,4,22.0,2.5,0.0,1,1
386,5,32.0,9.0,2.0,3,1
387,5,32.0,2.5,0.0,3,1
388,5,27.0,9.0,2.0,1,1
389,4,32.0,9.0,1.0,2,1
390,4,22.0,2.5,0.0,2,1
391,4,42.0,23.0,1.0,3,1
392,4,27.0,9.0,2.0,2,1
393,4,32.0,16.5,3.0,2,1
394,4,27.0,6.0,2.0,2,1
395,4,37.0,16.5,2.0,2,1
396,5,27.0,6.0,1.0,3,1
397,2,27.0,6.0,1.0,2,1
398,4,22.0,2.5,1.0,1,1
399,3,37.0,13.0,1.0,2,1
400,4,42.0,23.0,2.0,2,1
401,5,22.0,2.5,0.0,1,1
402,3,42.0,23.0,2.0,1,1
403,4,32.0,16.5,2.0,3,1
404,1,32.0,16.5,3.0,3,1
405,5,27.0,13.0,2.0,3,1
406,3,27.0,6.0,0.0,1,1
407,5,42.0,23.0,5.5,2,1
408,4,32.0,16.5,1.0,3,1
409,2,22.0,2.5,0.0,1,1
410,2,42.0,23.0,1.0,3,1
411,2,22.0,6.0,0.0,2,1
412,4,27.0,6.0,0.0,1,1
413,4,42.0,23.0,1.0,4,1
414,5,42.0,23.0,2.0,1,1
415,4,27.0,6.0,2.0,2,1
416,3,22.0,2.5,0.0,1,1
417,3,27.0,13.0,3.0,2,1
418,4,32.0,13.0,2.0,2,1
419,4,27.0,9.0,3.0,3,1
420,3,32.0,9.0,1.0,2,1
421,3,27.0,9.0,2.0,1,1
422,5,37.0,16.5,5.5,3,1
423,3,27.0,6.0,1.0,4,1
424,2,27.0,9.0,1.0,1,1
425,4,27.0,2.5,0.0,2,1
426,4,32.0,13.0,1.0,1,1
427,1,42.0,23.0,4.0,3,1
428,4,32.0,16.5,1.0,1,1
429,1,42.0,23.0,5.5,2,1
430,4,37.0,13.0,1.0,2,1
431,4,32.0,16.5,2.0,2,1
432,4,42.0,23.0,3.0,2,1
433,5,27.0,6.0,1.0,3,1
434,3,37.0,16.5,4.0,3,1
435,3,37.0,23.0,3.0,3,1
436,4,37.0,16.5,2.0,2,1
437,3,27.0,6.0,2.0,1,1
438,4,37.0,13.0,0.0,3,1
439,2,27.0,2.5,1.0,3,1
440,4,42.0,23.0,5.5,3,1
441,3,32.0,16.5,3.0,2,1
442,4,37.0,16.5,3.0,2,1
443,3,42.0,13.0,0.0,3,1
444,4,37.0,13.0,4.0,3,1
445,2,32.0,16.5,4.0,2,1
446,3,27.0,13.0,2.0,1,1
447,5,22.0,2.5,0.0,2,1
448,4,22.0,2.5,1.0,2,1
449,3,32.0,2.5,0.0,1,1
450,5,27.0,6.0,2.0,3,1
451,5,32.0,16.5,3.0,4,1
452,2,42.0,23.0,2.0,3,1
453,5,22.0,6.0,2.0,3,1
454,5,42.0,23.0,2.0,1,1
455,4,22.0,6.0,0.0,2,1
456,3,32.0,16.5,4.0,3,1
457,3,32.0,16.5,2.0,2,1
458,4,42.0,16.5,1.0,3,1
459,1,37.0,16.5,3.0,2,1
460,3,32.0,13.0,1.0,3,1
461,3,27.0,2.5,0.0,3,1
462,5,22.0,2.5,2.0,1,1
463,3,42.0,23.0,5.5,3,1
464,4,27.0,9.0,2.0,3,1
465,3,32.0,16.5,2.0,3,1
466,4,32.0,16.5,3.0,2,1
467,3,27.0,2.5,2.0,2,1
468,4,32.0,6.0,2.0,2,1
469,1,42.0,23.0,2.0,1,1
470,4,22.0,2.5,0.0,2,1
471,3,22.0,6.0,0.0,2,1
472,2,42.0,23.0,5.5,3,1
473,3,27.0,13.0,2.0,2,1
474,4,27.0,9.0,2.0,3,1
475,5,32.0,16.5,3.0,3,1
476,5,32.0,16.5,2.0,1,1
477,5,32.0,16.5,3.0,3,1
478,3,27.0,9.0,2.0,2,1
479,2,27.0,6.0,1.0,3,1
480,4,22.0,2.5,2.0,2,1
481,5,27.0,6.0,2.0,4,1
482,3,22.0,2.5,0.0,2,1
483,2,32.0,9.0,0.0,1,1
484,4,37.0,16.5,2.0,3,1
485,4,42.0,23.0,2.0,3,1
486,5,22.0,2.5,0.0,3,1
487,5,32.0,9.0,1.0,2,1
488,4,37.0,16.5,2.0,3,1
489,3,22.0,2.5,0.0,3,1
490,4,37.0,16.5,4.0,2,1
491,4,27.0,2.5,0.0,3,1
492,3,27.0,6.0,0.0,1,1
493,5,32.0,16.5,2.0,2,1
494,2,22.0,2.5,1.0,2,1
495,4,42.0,16.5,2.0,1,1
496,5,42.0,13.0,3.0,4,1
497,5,32.0,13.0,1.0,3,1
498,5,37.0,13.0,0.0,1,1
499,2,22.0,6.0,0.0,1,1
500,4,22.0,2.5,0.0,2,1
501,4,32.0,16.5,1.0,2,1
502,4,27.0,6.0,2.0,2,1
503,2,37.0,16.5,2.0,2,1
504,3,22.0,6.0,2.0,3,1
505,4,27.0,13.0,2.0,2,1
506,4,22.0,6.0,1.0,2,1
507,4,17.5,0.5,0.0,3,1
508,5,27.0,2.5,0.0,2,1
509,5,27.0,9.0,1.0,3,1
510,2,22.0,2.5,1.0,3,1
511,4,42.0,23.0,5.5,3,1
512,3,32.0,16.5,3.0,3,1
513,4,37.0,13.0,1.0,1,1
514,2,32.0,16.5,3.0,2,1
515,4,32.0,13.0,2.0,2,1
516,4,22.0,2.5,0.0,2,1
517,5,22.0,2.5,0.0,2,1
518,4,32.0,16.5,3.0,2,1
519,4,37.0,16.5,3.0,2,1
520,5,42.0,23.0,4.0,3,1
521,5,27.0,9.0,2.0,1,1
522,5,32.0,9.0,0.0,2,1
523,2,42.0,23.0,3.0,4,1
524,4,42.0,23.0,2.0,3,1
525,5,27.0,6.0,0.0,3,1
526,4,22.0,6.0,0.0,3,1
527,2,32.0,16.5,5.5,2,1
528,4,22.0,2.5,1.0,2,1
529,5,37.0,23.0,4.0,3,1
530,4,32.0,13.0,3.0,2,1
531,4,32.0,16.5,2.0,2,1
532,4,27.0,6.0,1.0,2,1
533,2,27.0,13.0,2.0,3,1
534,4,37.0,16.5,2.0,2,1
535,4,27.0,6.0,0.0,4,1
536,4,37.0,23.0,3.0,3,1
537,3,27.0,2.5,0.0,1,1
538,3,27.0,9.0,1.0,2,1
539,2,37.0,23.0,4.0,2,1
540,3,37.0,23.0,3.0,3,1
541,3,32.0,13.0,2.0,3,1
542,2,37.0,16.5,4.0,3,1
543,4,27.0,9.0,2.0,3,1
544,4,42.0,23.0,3.0,3,1
545,5,42.0,23.0,3.0,3,1
546,2,27.0,6.0,0.0,2,1
547,1,27.0,2.5,0.0,2,1
548,5,32.0,16.5,2.0,1,1
549,4,32.0,16.5,3.0,2,1
550,3,22.0,6.0,0.0,2,1
551,3,27.0,2.5,2.0,2,1
552,3,42.0,23.0,1.0,3,1
553,5,42.0,23.0,4.0,2,1
554,1,27.0,6.0,2.0,2,1
555,4,32.0,13.0,2.0,2,1
556,4,32.0,13.0,2.0,1,1
557,5,32.0,16.5,3.0,2,1
558,5,42.0,23.0,2.0,1,1
559,4,27.0,9.0,2.0,2,1
560,4,37.0,16.5,3.0,3,1
561,5,37.0,16.5,5.5,1,1
562,3,42.0,9.0,2.0,1,1
563,4,27.0,6.0,1.0,3,1
564,3,27.0,9.0,2.0,3,1
565,4,27.0,6.0,2.0,2,1
566,4,37.0,16.5,4.0,3,1
567,4,32.0,16.5,3.0,3,1
568,4,27.0,6.0,1.0,2,1
569,5,42.0,23.0,2.0,2,1
570,4,32.0,13.0,1.0,3,1
571,2,27.0,6.0,1.0,2,1
572,3,22.0,2.5,0.0,2,1
573,3,27.0,6.0,0.0,2,1
574,5,37.0,23.0,4.0,2,1
575,3,32.0,16.5,3.0,4,1
576,4,22.0,2.5,0.0,2,1
577,2,22.0,6.0,2.0,3,1
578,4,27.0,9.0,2.0,3,1
579,4,22.0,2.5,0.0,1,1
580,3,42.0,23.0,5.5,4,1
581,3,42.0,23.0,3.0,2,1
582,3,22.0,2.5,1.0,3,1
583,4,32.0,9.0,2.0,2,1
584,3,32.0,16.5,1.0,3,1
585,3,27.0,6.0,2.0,1,1
586,3,27.0,6.0,1.0,3,1
587,4,37.0,16.5,3.0,1,1
588,4,32.0,13.0,2.0,2,1
589,3,22.0,2.5,0.0,1,1
590,3,27.0,6.0,0.0,3,1
591,3,42.0,23.0,3.0,2,1
592,5,32.0,13.0,3.0,3,1
593,5,27.0,2.5,1.0,2,1
594,3,27.0,9.0,3.0,1,1
595,2,22.0,2.5,0.0,2,1
596,1,42.0,23.0,5.5,2,1
597,3,22.0,2.5,0.0,1,1
598,4,27.0,2.5,0.0,1,1
599,5,27.0,6.0,0.0,2,1
600,3,27.0,6.0,1.0,2,1
601,2,42.0,23.0,1.0,1,1
602,4,27.0,6.0,0.0,4,1
603,3,22.0,6.0,1.0,1,1
604,5,22.0,2.5,0.0,2,1
605,3,27.0,2.5,4.0,2,1
606,4,27.0,6.0,3.0,2,1
607,3,32.0,16.5,2.0,3,1
608,5,22.0,2.5,0.0,3,1
609,5,32.0,13.0,1.0,2,1
610,5,22.0,2.5,0.0,3,1
611,3,32.0,13.0,2.0,1,1
612,1,37.0,23.0,4.0,2,1
613,2,22.0,2.5,1.0,3,1
614,4,42.0,23.0,3.0,4,1
615,4,27.0,6.0,2.0,2,1
616,5,37.0,16.5,2.0,4,1
617,4,22.0,6.0,0.0,3,1
618,3,32.0,16.5,3.0,2,1
619,4,27.0,9.0,3.0,3,1
620,5,27.0,6.0,0.0,1,1
621,2,22.0,6.0,3.0,3,1
622,5,22.0,2.5,0.0,1,1
623,5,42.0,23.0,4.0,4,1
624,4,32.0,9.0,1.0,1,1
625,4,22.0,2.5,2.0,3,1
626,3,42.0,23.0,5.5,3,1
627,3,22.0,2.5,1.0,1,1
628,5,27.0,9.0,2.0,2,1
629,3,22.0,2.5,0.0,1,1
630,4,32.0,13.0,1.0,2,1
631,4,37.0,16.5,1.0,2,1
632,5,32.0,9.0,3.0,2,1
633,4,27.0,9.0,1.0,2,1
634,3,27.0,2.5,1.0,3,1
635,2,22.0,2.5,1.0,2,1
636,1,42.0,16.5,5.5,3,1
637,3,27.0,13.0,2.0,2,1
638,4,42.0,23.0,3.0,4,1
639,3,27.0,9.0,2.0,2,1
640,3,27.0,6.0,2.0,2,1
641,5,27.0,2.5,0.0,3,1
642,3,27.0,2.5,0.0,3,1
643,3,22.0,2.5,0.0,3,1
644,3,42.0,23.0,3.0,1,1
645,5,42.0,23.0,2.0,2,1
646,4,27.0,2.5,0.0,1,1
647,5,27.0,6.0,0.0,2,1
648,4,32.0,16.5,4.0,2,1
649,4,27.0,6.0,0.0,3,1
650,4,32.0,9.0,2.0,2,1
651,3,27.0,9.0,2.0,1,1
652,3,27.0,2.5,1.0,2,1
653,5,27.0,13.0,2.0,2,1
654,2,27.0,13.0,2.0,2,1
655,3,42.0,16.5,4.0,2,1
656,3,32.0,9.0,2.0,1,1
657,5,32.0,13.0,0.0,2,1
658,1,27.0,9.0,2.0,2,1
659,3,32.0,13.0,3.0,2,1
660,5,27.0,2.5,0.0,3,1
661,4,32.0,6.0,1.0,1,1
662,5,27.0,13.0,3.0,1,1
663,5,27.0,2.5,0.0,3,1
664,5,32.0,16.5,4.0,2,1
665,4,37.0,13.0,0.0,2,1
666,3,22.0,2.5,0.0,3,1
667,5,37.0,13.0,2.0,4,1
668,4,22.0,2.5,2.0,1,1
669,1,42.0,16.5,2.0,4,1
670,3,37.0,16.5,3.0,3,1
671,4,22.0,2.5,0.0,3,1
672,5,32.0,13.0,2.0,2,1
673,3,37.0,16.5,2.0,3,1
674,4,32.0,16.5,4.0,3,1
675,4,32.0,16.5,2.0,2,1
676,5,37.0,16.5,2.0,4,1
677,3,27.0,9.0,2.0,1,1
678,3,42.0,23.0,3.0,3,1
679,4,32.0,9.0,2.0,1,1
680,4,22.0,6.0,2.0,2,1
681,1,32.0,13.0,2.0,2,1
682,4,22.0,2.5,0.0,1,1
683,4,27.0,9.0,2.0,1,1
684,3,27.0,6.0,0.0,2,1
685,4,32.0,13.0,4.0,2,1
686,5,42.0,23.0,3.0,4,1
687,2,37.0,16.5,3.0,1,1
688,3,32.0,9.0,0.0,2,1
689,4,37.0,16.5,2.0,3,1
690,1,32.0,16.5,4.0,3,1
691,3,37.0,16.5,1.0,3,1
692,4,22.0,2.5,0.0,3,1
693,4,22.0,6.0,2.0,2,1
694,3,22.0,2.5,1.0,3,1
695,5,27.0,6.0,1.0,3,1
696,5,27.0,9.0,2.0,2,1
